,시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,분양형태,사용승인일,가입일,동수,세대수,분양세대수,임대세대수,관리방식,난방방식,복도유형,시공사,시행사,주택관리업자,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,음식물 처리방법,소독관리-관리방식,연간소독횟수,소독방법,건물구조,전기-수전용량,전기-세대전기계약방식,전기안전관리자선임여부,화재수신반방식,급수방식,승강기관리형태,승강기(승객용),승강기(화물용),승강기(승객+화물),승강기(장애우),승강기(비상용),승강기(기타),총주차대수,지상주차대수,지하주차대수,CCTV대수,"주차관제, 홈네트워크",관리사무소 주소,관리사무소 연락처,관리사무소 팩스,부대복리시설,최고층수,최고층수(건축물대장상),지하층수,주소,위도,경도
0,서울특별시,종로구,,사직동,A11005401,광화문스페이스본 아파트,주상복합,서울특별시 종로구 사직동 9 광화문스페이스본 아파트,서울특별시 종로구 사직로8길 4,분양,20080711,20090511,6,744,744,0,위탁관리,개별난방,복도식,풍림산업(주),사직1구역 도심 재개발조합,(주)타워피엠씨,위탁관리,13.0,위탁관리(직영+위탁),16.0,,위탁관리(직영+위탁),14.0,기타,위탁관리,4.0,"도포식,분무식",철골철근콘크리트구조,6150,종합계약,상주선임,R형,부스타방식,위탁관리,21.0,0.0,0.0,0.0,0.0,0.0,1415,10.0,1405.0,256.0,유,"서울특별시 종로구 사직로8길 4, (사직동, 광화문풍림스페이스본 아파트)",027373388,27373399.0,"관리사무소, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",14,14.0,4,사직로8길 4,37.5744515,126.9688493
1,서울특별시,종로구,,내수동,A11007001,경희궁의아침3단지,아파트,서울특별시 종로구 내수동 72 경희궁의아침3단지,서울특별시 종로구 사직로8길 34,분양,20040517,20090511,1,150,150,0,위탁관리,개별난방,계단식,쌍용건설,군인공제조합,우리관리주식회사,위탁관리,5.0,위탁관리,4.0,에스원,위탁관리,4.0,차량수거방식,위탁관리,12.0,"도포식,분무식",철근콘크리트구조,2150,종합계약,상주선임,R형,부스타방식,위탁관리,0.0,0.0,5.0,0.0,0.0,0.0,315,0.0,315.0,82.0,무,서울시 종로구 사직로8길34,027224433,27340253.0,"관리사무소, 주민공동시설",16,16.0,3,사직로8길 34,37.573560799999996,126.97241425434632
2,서울특별시,종로구,,익선동,A11034001,현대뜨레비앙,주상복합,서울특별시 종로구 익선동 55 현대뜨레비앙,서울특별시 종로구 돈화문로11가길 59,분양,20031129,20090511,1,291,291,0,위탁관리,개별난방,복도식,현대건설,팬퍼시픽,인덕종합관리(주),위탁관리,4.0,위탁관리,6.0,인덕종합관리(주),위탁관리,3.0,음식물쓰레기종량제,위탁관리,12.0,"도포식,분무식,기구설치식,독이식",철근콘크리트구조,1250,단일계약,상주선임,GR형,부스타방식,위탁관리,2.0,0.0,1.0,1.0,0.0,0.0,204,0.0,204.0,56.0,무,서울시 돈화문로 11가길 59,027430416,27430417.0,"관리사무소, 자전거보관소",9,9.0,3,돈화문로11가길 59,37.5748662,126.9905741
3,서울특별시,종로구,,인의동,A11041001,효성주얼리시티아파트,주상복합,서울특별시 종로구 인의동 48-2 효성주얼리시티아파트,서울특별시 종로구 종로 183,분양,20061027,20090511,1,298,298,0,위탁관리,개별난방,계단식,(주)효성건설,태승플레이,남경종합관리(주),위탁관리,6.0,위탁관리,8.0,남경종합관리(주),위탁관리,7.0,기타,위탁관리,12.0,분무식,철골철근콘크리트구조,2000,종합계약,상주선임,GR형,부스타방식,위탁관리,8.0,0.0,0.0,0.0,0.0,0.0,428,0.0,428.0,81.0,무,서울시 종로구 종로183(인의동) A동 1층,0262603500,262603502.0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",19,19.0,5,종로 183,37.5711068,127.0057042
4,서울특별시,종로구,,효제동,A10027162,포레스트힐시티,도시형 생활주택(주상복합),서울특별시 종로구 효제동 65-2 포레스트힐시티,서울특별시 종로구 대학로 33,분양,20170120,20170220,1,152,152,0,위탁관리,개별난방,타워형,신홍선건설,마르코통상,주식회사 에이치피엠씨,위탁관리,3.0,위탁관리,2.0,휴플러스(주),위탁관리,1.0,음식물쓰레기종량제,위탁관리,4.0,"도포식,분무식",철골철근콘크리트구조,500,종합계약,위탁선임,P형,부스타방식,위탁관리,2.0,0.0,0.0,0.0,0.0,0.0,77,1.0,76.0,32.0,무,서울 종로구 대학로 33 (효제동),027437430,27437431.0,"관리사무소, 주민공동시설, 자전거보관소",14,14.0,3,대학로 33,37.4463113,129.1620797
5,서울특별시,종로구,,충신동,A10023586,힐스테이트 창경궁,,서울특별시 종로구 충신동 60 힐스테이트 창경궁,서울특별시 종로구 율곡로 236,임대+분양,20220929,20221026,1,181,160,21,위탁관리,개별난방,계단식,현대건설,에스와이상영개발,(주)신대한관리,위탁관리,6.0,위탁관리(직영+위탁),2.0,(쥐)신대한관리,위탁관리(직영+위탁),3.0,음식물쓰레기종량제,위탁관리,12.0,"도포식,독이식",철골철근콘크리트구조,900,종합계약,상주선임,R형,부스타방식,관리방식미정,4.0,0.0,0.0,0.0,0.0,0.0,230,0.0,230.0,40.0,유,"서울특별시 종로구 율곡로 236(충신동, 힐스테이트 창경궁)",027657736,27657737.0,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",15,15.0,5,율곡로 236,37.981636,126.9136757
6,서울특별시,종로구,,명륜2가,A11052201,명륜아남1차,아파트,서울특별시 종로구 명륜2가 4 명륜아남1차,서울특별시 종로구 창경궁로 265,분양,19951222,20090511,3,436,436,0,위탁관리,개별난방,계단식,아남건설(주),총무처주택조합외 11개 조합,서림주택관리(주),위탁관리,5.0,위탁관리,8.0,(주)국보종합관리,위탁관리,4.0,거점장비수거방식,위탁관리,12.0,"도포식,분무식",철근콘크리트구조,1200,단일계약,상주선임,P형,부스타방식,위탁관리,12.0,0.0,0.0,0.0,0.0,0.0,438,130.0,308.0,66.0,무,종로구 창경궁로 265,027479717,27479718.0,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,20.0,3,창경궁로 265,37.5666991,126.9981082
7,서울특별시,종로구,,창신동,A11054101,창신두산,아파트,서울특별시 종로구 창신동 232 창신두산,서울특별시 종로구 지봉로5길 7,분양,19990430,20090511,3,529,529,0,위탁관리,개별난방,혼합식,두산건설(주),두산건설,율산개발(주),위탁관리,6.0,위탁관리,4.0,국제안전시스템,위탁관리,6.0,음식물쓰레기종량제,위탁관리,12.0,"도포식,분무식,독이식",철근콘크리트구조,1700,단일계약,상주선임,R형,부스타방식,위탁관리,11.0,0.0,0.0,0.0,0.0,0.0,521,114.0,407.0,108.0,무,서울시 종로구 지봉로5길 7 (창신동),027637006,262617006.0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터",23,23.0,2,지봉로5길 7,37.5752384,127.0142506
8,서울특별시,종로구,,창신동,A11054301,창신쌍용1단지,아파트,서울특별시 종로구 창신동 702 창신쌍용1단지,서울특별시 종로구 동망산길 19,분양,19921125,20090511,5,585,585,0,자치관리,개별난방,혼합식,쌍용건설,창신 제1-2 재개발조합, ,자치관리,6.0,위탁관리,6.0,(주)경진이앤지,위탁관리,6.0,음식물쓰레기종량제,위탁관리,12.0,"분무식,독이식",철근콘크리트구조,275,단일계약,상주선임,P형,부스타방식,위탁관리,10.0,0.0,0.0,0.0,0.0,0.0,306,306.0,0.0,60.0,무,서울시 종로구 동망산 길 19,027471554,27471553.0,"관리사무소, 노인정, 어린이놀이터",14,14.0,0,동망산길 19,37.5800523,127.0153737
9,서울특별시,종로구,,창신동,A11077101,창신쌍용아파트2단지,아파트,서울특별시 종로구 창신동 703 창신쌍용아파트2단지,서울특별시 종로구 낙산길 198,분양,19931012,20090918,7,919,919,0,위탁관리,개별난방,혼합식,쌍용건설,창신제2지구 재개발조합,(주)동우개발,위탁관리,9.0,위탁관리,14.0,(주)뉴맨테크,위탁관리,7.0,음식물쓰레기종량제,위탁관리,12.0,"분무식,독이식",철근콘크리트구조,1700,단일계약,상주선임,P형,부스타방식,위탁관리,16.0,0.0,0.0,0.0,0.0,1.0,500,373.0,127.0,126.0,무,서울 종로구창신동703,027666141,236723555.0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,15.0,0,낙산길 198,37.581057200000004,127.0114997566096
